3400	hillock or mound
3401	to lick
3402	to like
3405	five
3406	to follow
340C	a tribe of savages in South China
3416	㐖毒
341C	an enemy
3421	weak
3424	to implore
3427	sequence
3428	a kind of fish in legend
3429	wine cups
342B	cruel
342C	a cup with pendants
342D	a granary
342E	to help
342F	to employ
3430	to believe in
3431	bushy
3432	name of an island
3433	high and level on the top
3434	to drag down
3435	Confucianism
3437	a kind of punishment in Han Dynasty
3438	to owe money
3439	strong
343A	all
343B	name of a person
343C	to save
343D	name of a place
3441	short
3442	to imitate
3443	to pull
3444	to insult
3445	to make
3447	clever
3448	rude
3449	cannot straighten up
344A	a kind of disease
344B	small
344C	weak
344D	inferior
344E	last name
344F	to stand and wait
3450	to move
3454	all together
3457	a god
3458	a servant
3459	frivolous
345A	that
345B	to shake one's head
345C	to engrave
345D	to make a fool of
345E	a maid who accompanies a bride to her new home
345F	insincere and cunning person
3463	stupid
3464	good looking
3465	disrespectful
3466	anger
3467	perturbed
3468	great
3469	smart
346A	a generation
346E	last name
346F	last name
3470	distress
3471	a kind of monkey
3473	pregnant
3474	to usurp
3475	envy
3476	anger
3477	manner
3479	to meet
347A	superior
347B	strong
347C	name of a god
347D	to ward off
347E	joy
347F	long
3480	do not fear to
3481	of great stature
3482	to bestow
3483	capital form of two
3484	brittle and friable
3485	to unbind the collar
3486	to gather the harvest
3487	to skip about
3488	dangerous
3489	alarmed
348A	loquacious
348B	a servant
348C	along
348D	utterly weary in body and spirits
348E	evil
3491	grow up
3492	a slave
3493	to escape
3494	to shake one's head
3495	unyield
3496	the root-stock of the lotus
3497	a servant
3499	to hand or bow the head
349A	firm
349B	to stand alone
349C	respectful
349D	to deceive
349E	valiant
349F	with a charming
34A0	narrow
34A1	name of a person
34A4	to have one's heart won
34A5	an immortal
34A6	puppets
34A7	a pair
34A8	an immortal
34A9	naked
34AA	tin
34AB	choked and unable to breath
34AD	an elder brother
34B0	perfect
34B2	wealth
34B3	two
34B4	to come
34B5	manner
34B6	public
34B7	to prosper
34B8	to obey
34B9	to upset
34BB	to go forward with eyes covered
34BC	average
34BD	a kind of cap for children
34BE	a kind of wrapper used to cover over the face and head
34BF	a kind of turban used in ancient time
34C1	a net
34C2	tyrannical
34C3	to sacrifice by pouring out a libation of wine
34C4	to plough
34C5	frozen
34C8	sound of flying or speeding
34C9	ice
34CA	cold
34CB	to freeze
34CC	bitterly cold
34CE	cold
34CF	bitterly cold
34D0	to rain
34D1	cold
34D3	thin ice
34D4	faded and fallen -- as blossoms
34D6	bitterly cold
34D7	clean
34D8	jade with some defects
34D9	cruel
34DA	a sickle
34DB	merit
34DC	young
34DD	a law
34DE	to engrave
34DF	to peel
34E0	a flaw
34E1	the middle part of a bow
34E2	to cut the flesh from the bones
34E3	to sink into
34E4	to strip the skin of the face
34E5	to kill
34E6	to deliberate and plan
34E7	agricultural implements
34E8	to pierce
34E9	horned hair
34EA	bright
34EC	to cut open
34ED	to make ready the leather for shoes
34EE	to engrave
34EF	to divide
34F0	to rive
34F1	to cut
34F2	to pare
34F3	use knife to split something
34F4	to cut in two
34F5	swords
34F6	to carve
34F7	to cut off the nose
34F8	to cut to pieces
34F9	a sharp-pointed weapon
34FA	castration
34FB	tough
34FC	an incised wound
34FD	a kind of farm tool
